"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"Q9WUM4"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.288599920998441	0.118225384642045	-2.44109944638578	106	0.016298910951404	0.0922266783884043
"Q9WUM5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.278863118622259	0.0860122134191364	3.24213396606088	161	0.00144212924644216	0.0161349915040249
"Q9WUP7"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0929401420812849	0.115228693976205	0.806571166210368	36	0.42521017228511	0.670913119823485
"Q9WUQ2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.518204117534004	0.356439427737827	-1.45383500591624	13	0.169705392956166	0.40414981625912
"Q9WUR2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0105424886927856	0.156078204937513	0.067546193890469	43	0.946459996501245	0.974237100463869
"Q9WUR9"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.135616854226642	0.107366964411345	-1.26311528848916	162	0.208362666457356	0.449041743972513
"Q9WUU7"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.190569078272407	0.201957084238072	0.943611752919543	16	0.359399835081846	0.616778800643447
"Q9WV18"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.381081730614407	0.136062024837161	-2.80079420448493	45	0.00748704638338249	0.0565797408709124
"Q9WV27"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.384640037902056	0.168262551874921	-2.28595153001114	15	0.0372205031128265	0.164649362935559
"Q9WV32"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.00193233224383213	0.367910933206479	-0.0052521740166598	14	0.995883498052153	0.998088598527709
"Q9WV34"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0128245197536063	0.0995054120218005	-0.128882635557517	332	0.897528557028159	0.95092284561802
