"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"P70202"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.181716120192672	0.0507063574297972	-3.58369501189781	53	0.000736862127972637	0.0195325145614901
"P70205"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.348342646021481	0.246161239069753	1.41509949875892	15	0.177464127487576	0.480771527769015
"P70206"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.312655999657928	0.17602830824083	-1.77616886046631	28	0.086574436719479	0.331115992159073
"P70227"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.293256703450371	0.178895807980708	-1.6392597834489	15	0.121958115496017	0.394988407894054
"P70232"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.199961990707831	0.123493523418429	1.6192103453904	170	0.107255690001083	0.374848348753956
"P70245"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.132148392137908	0.145172525259916	0.910285137640959	17	0.375398679396941	0.691407722716119
"P70255"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.158811931628789	0.297074775079352	-0.534585716967618	8	0.607469454622511	0.836666563001268
"P70257"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	1.80498174308017	0.379049998568898	4.76185661494493	16	0.000212219649742718	0.00803636168146599
"P70274"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0968089387816014	0.371491926306717	0.260595000661394	14	0.798198732897602	0.928940504412407
"P70288"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.618554011299428	0.653585375100184	-0.946401242843926	15	0.358941509289849	0.675170546404378
"P70290"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0399464681136467	0.0823305558556654	-0.485196142531544	178	0.628133835962541	0.850510490658907
"P70296"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.126753432988702	0.0749129735590607	-1.69200910024978	231	0.0919926507694377	0.344198343704107
"P70297"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0777552535221274	0.0786034998089213	0.989208543018365	65	0.326229263109306	0.646083931422223
"P70302"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.172370442071135	0.0914216612476258	-1.88544421222286	119	0.0618082928736294	0.270012501152621
"P70303"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.295047641176395	0.176608693781074	-1.67062920210564	16	0.11423710898218	0.385942232894697
"P70318"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.490420579288107	0.189892032686413	-2.58262851974409	9	0.0295688521922264	0.182606209058086
"P70333"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.259205257345724	0.119085788537695	2.17662628369527	17	0.0438937591729571	0.22665774537602
